text,sentiment,topic
"giáo viên có mời các công ty về trình bày , giúp sinh viên cập nhật kiến thức thực tiễn .",positive,lecturer
coi lại thái độ giảng viên thực hành .,negative,lecturer
"giảng viên nhiệt tình , giải nhiều bài tập .",positive,lecturer
bài giảng của thầy rất nhiệt tình .,positive,lecturer
"môn học chưa thực tiễn , chưa thu hút sinh viên .",negative,program
dạy hơi nhanh !,negative,lecturer
ít làm bài tập .,negative,program
"giảng bài kém thu hút , vị trí đứng giảng không hợp lý , ôn tập cuối kỳ còn chưa tập trung vào vấn đề .",negative,lecturer
"giảng viên nhiệt tình , bài giảng thu hút .",positive,lecturer
"nhờ thầy và giảng viên lý thuyết , em đã hiểu rõ về môn này rất nhiều !",positive,lecturer
môn này khá trừu tượng nên mong thầy có nhiều liên tưởng tới thực tiễn hơn để chúng em có thể hiểu .,negative,program
cần thêm nhiều tài liệu cho sinh viên .,negative,program
tăng số tiết dạy lên để sinh viên có nhiều cơ hội hỏi đáp thắc mắc về môn học .,negative,program
thầy nhiệt tình dễ hiểu .,positive,lecturer
thực hành và lý thuyết nên dạy song song .,negative,program
giảng viên dạy nhanh .,negative,lecturer
bài tập trên lớp nên được giới thiệu ngay từ đầu tiết học để học sinh không tốn thời gian đọc đề cũng như có thể suy nghĩ cách giải cùng lúc với việc nghe giảng .,negative,program
giảng viên cho bài tập hay .,positive,lecturer
cập nhật bài tập mới .,negative,program
"lên lớp ai làm việc người ấy , thầy không có giảng gì thêm .",negative,lecturer
"tận tâm , nhiệt tình , quan tâm đến sinh viên .",positive,lecturer
phản hồi giải đáp thắc mắc cho sinh viên .,positive,lecturer
dạy quá nhanh .,negative,lecturer
mong ban thiết bị sớm khắc phục ạ !,negative,facility
môn này cần làm đề tài để áp dụng lý thuyết vào thực tiễn mà trên lớp chỉ học một đống lý thuyết và hiếm ai nhớ đa số khá buồn ngủ khi lên lớp .,negative,program
"giảng viên nên đổi mới phương pháp giảng dạy , tránh thô cứng , không hấp dẫn sinh viên .",negative,lecturer
"nhiệt tình , tạo cách chủ động cho học sinh tiếp cận với môn học và tham gia các chương trình phong trào liên quan để nâng cao kỹ năng .",positive,lecturer
"cô dạy rất tận tình , dễ hiểu .",positive,lecturer
không đáp ứng được nhu cầu của sinh viên .,negative,program
thầy rất nhiệt tình với chúng em và điều này làm em rất hài lòng .,positive,lecturer
cách giảng dạy của thầy rất hay và có phần dễ hiễu .,positive,lecturer
"nhiệt tình , dễ thương .",positive,lecturer
không hướng dẫn đồ án .,negative,lecturer
em xin đề nghị nhà trường nên bổ sung tài liệu về môn học và cập nhật nội dung .,negative,program
"chép bài rất nhiều , lãng phí thời gian nghe giảng .",negative,lecturer
"em không học thầy wzjwz178 kỳ này , giáo viên thực hành có 2 người nên có lẽ daa nhầm .",negative,lecturer
đề thi môn dài sinh viên làm không đủ thời gian .,negative,other
cho làm nhiều bài test .,negative,lecturer
theo em thì nên thi phòng máy nào có visual 2013 trở lên .,negative,facility
cần thêm nhiều tài liệu cho môn học .,negative,program
thầy giảng dạy tốt .,positive,lecturer
mong thầy có thể hướng dẫn cách cụ thể nhất cho những bài khó .,negative,lecturer
thầy cần cho bài tập và hướng dẫn nhiều hơn .,negative,lecturer
"giáo viên lên lớp đúng giờ , giảng bài sôi động .",positive,lecturer
em thấy thầy chỉ giảng cho có .,negative,lecturer
cần xác định rõ mục đích môn học và cho sinh viên đề cương chi tiết môn học trước khi bắt đầu .,negative,program
"thầy nói chuyện với sinh viên rất tự nhiên , chia sẻ kinh nghiệm thực tế .",positive,lecturer
dạy theo sát chương trình .,positive,lecturer
cung cấp thêm trang thiết bị phục vụ nhu cầu môn học .,negative,facility
đề nghị nâng cấp phòng lab khoa mạng .,negative,facility
"thầy giảng hay và tâm huyết , bài giảng có tính thực tiễn cao .",positive,lecturer
đi dạy đúng giờ .,positive,lecturer
"thầy cung cấp nhiều kiến thức mới , thầy dạy tận tâm và nhiệt tình !",positive,lecturer
có tăng thêm nhiều ví dụ để minh họa cho lý thuyết vì có nhiều phần lý thuyết rất trừu tượng .,positive,lecturer
các yêu cầu về đồ án môn học nên đươc đưa ra chính xác trước khi sinh viên bắt đầu thực hiện chia nhóm và làm đồ án .,negative,program
"dạy dễ hiểu dễ tiếp thu , tập trung vài kiến thức trọng tâm .",positive,lecturer
"dạy chưa được kỹ lắm , điểm nên thoáng hơn .",negative,lecturer
chưa chuẩn bị kỹ bài giảng để có thể trả lời các thắc mắc của sinh viên trên lớp .,negative,lecturer
cô khá tận tâm cho học sinh .,positive,lecturer
"cần cải cách lại nội dung các bài thực hành , một số kiến nội dung trong bài thực hành đã trở nên lỗi thời .",negative,program
giảng viên có khả năng truyền đạt kiến thức tốt .,positive,lecturer
cho làm nhiều bài tập .,negative,lecturer
"giáo viên dạy rất tận tâm , nhiệt tình .",positive,lecturer
thầy cô hướng dẫn đồ án hệ thống thông tin cần có thêm một vài buổi gặp mặt với sinh viên và đưa ra lịch cố định trên trường để sinh viên thắc mắc có thể lên hỏi trực tiếp !,negative,lecturer
chỉ thông báo trên lớp sẽ khó tránh sai sót .,negative,other
cô viết ở góc bảng gần chổ bụt giảng khiến nhiều khi khó quan sát được ạ .,negative,lecturer
đề nghị lắp thêm quạt .,negative,facility
dạy kỹ .,positive,lecturer
bài tập cần đa dạng hơn .,negative,program
nói rất nhỏ .,negative,lecturer
có lúc làm bài sai giáo viên nói làm hơi tự ái .,negative,lecturer
không sửa các bài tập thực hành .,negative,lecturer
em chưa hiểu rõ cách thức chấm điểm bài kiểm tra thực hành .,negative,program
làm bài tập nhiều mặc dù không hiểu lắm .,negative,program
thi thoảng nghỉ học không thông báo trên daa .,negative,lecturer
"thầy dạy dễ hiểu , tiết học dễ hiểu , sôi nổi .",positive,lecturer
"thầy giảng dạy nhiệt tình , truyền cảm .",positive,lecturer
"giảng dạy rất chi tiết , dễ hiểu và dễ tiếp thu .",positive,lecturer
truyền đạt những kiến thức tốt .,positive,lecturer
cô vui tính .,positive,lecturer
nếu có thì chỉ hướng dẫn bằng lý thuyết mà không làm bài tập mẫu cho sinh viên .,negative,lecturer
cô chưa có nhiều kênh bài tập cho sinh viên .,negative,lecturer
bạn nào khá thì có thể áp dụng công thức vào bài tập cả lớp chưa đến 30% còn thực sự hiểu môn học thì rất ít người hiểu .,negative,other
thầy dạy hơi nhanh .,negative,lecturer
ít hướng dẫn sinh viên trong giờ thực hành .,negative,lecturer
không thực hành được buổi nào .,negative,other
"thầy dạy phần lý thuyết hay , nắm bắt được khả năng của sinh viên .",positive,lecturer
"giáo viên nhiệt tình , dạy dễ hiểu , tận tình với sinh viên .",positive,lecturer
"tân tâm , nhiệt tình trong lớp lẫn bên ngoài .",positive,lecturer
thầy giảng dạy tận tâm nhiệt tình .,positive,lecturer
"thầy vui tính , giảng bài dễ hiểu , nhiệt tình .",positive,lecturer
thầy giáo dạy nhiệt tình .,positive,lecturer
"dạy dễ hiểu , gần gũi sinh viên .",positive,lecturer
"cô dạy rất nhiệt tình và tài liệu của cô rất cụ thể dễ hiểu , cô hướng dẫn rất tận tình .",positive,lecturer
mong thầy cố gắng trong các học kỳ sau .,negative,lecturer
cần đưa ra nhiều ví dụ minh họa hơn .,negative,program
"giảng viên hoà đồng , vui vẻ , chỉ giảng tận tình sinh viên ham học hỏi .",positive,lecturer
giảng viên không dạy một tiết thực hành nào .,negative,lecturer
nên có sự thống nhất giữa các giảng viên bộ môn trong đề cương giảng dạy .,negative,lecturer
"có những phần kiến thức chỉ một nửa lớp được học nhưng giảng viên nghĩ là cả lớp đã học rồi nên chỉ overview , những sinh viên còn lại khó nắm được .",negative,lecturer
máy tính cập nhật nhanh hơn .,negative,facility
"vui , hòa đồng , nhiệt tình .",positive,lecturer
có giúp đỡ sinh viên học tập nghiên cứu .,positive,lecturer
"giảng viên tận tâm , nhiệt tình , ham học hỏi .",positive,lecturer
"tuy nhiên cô nên cân nhắc lại về số lượng yêu cầu đối với sinh viên để sinh viên không bị khớp vì quá nhiều dẫn đến làm qua loa cho có , như vậy thì kết quả lại không tốt .",negative,lecturer
"cô rất tận tâm , rất ok , em rất thích cách dạy và học của cô ( mặc dù hơi nhanh tí ) .",positive,lecturer
mong thầy và nhà trường xem xét lại những điều em vừa nói .,negative,lecturer
"thầy tận tâm , nhiệt tình , tạo động lực cho sinh viên .",positive,lecturer
"thầy giáo tận tình , dạy kỹ , thường đưa ra câu hỏi để xem xét mức độ hiểu biết của sinh viên .",positive,lecturer
cần tăng cương trao đổi giữa sinh viên và giáo viên .,negative,program
nói chung là nghe không bao giờ nghe rõ được .,negative,other
cách truyền đạt của giáo viên chưa có sức hút đối với sinh viên nhiều cho lắm .,negative,lecturer
"cô giáo thân thiện dễ gần , thực hành nhiều .",positive,lecturer
chưa tiếp thu trọn vẹn .,negative,lecturer
cần cải tiến trang thiết thực hành .,negative,facility
giảng kỹ hơn .,negative,lecturer
còn hơi kéo thời gian .,negative,lecturer
có nhiều bài tập về nhà cơ bản lẫn nâng cao và giảng viên sửa bài đủ .,positive,lecturer
thầy rất hiền và kiên trì giảng dạy cho lớp mặc dù môn học này đối với em không được hứng thú lắm .,negative,lecturer
đôi lúc giảng bài hơi nhanh .,negative,lecturer
có một số buổi không đi dạy .,negative,lecturer
thầy nhiệt tình và dạy dễ hiểu .,positive,lecturer
"có kiến thức nền tảng này , sinh viên có thể học thêm bất kỳ công nghệ cụ thể nào đó dễ dàng , cũng như tiếp thu thay đổi công nghệ mới nhanh chóng .",positive,other
"cấu trúc đề cương của thầy chưa rõ ràng , lý thuyết chưa được trình bày rõ trong các buổi học .",negative,program
tài liệu hỗ trợ toàn tiếng anh rất khó học .,negative,program
chưa nhận được gì từ môn học này .,negative,other
"giảng viên không hề giảng dạy , chỉ đưa đề cương rồi thôi .",negative,lecturer
bài tập mỗi tuần đều có và đầy đủ .,positive,program
em xin cảm ơn .,positive,other
thầy cần phải cho sinh viên biết được học môn này có tác dụng gì và làm được gì khi học xong .,negative,lecturer
đề nghị tăng thời gian thưc hành .,negative,program
không được làm những chuyện riêng trong lúc dạy thực hành .,negative,lecturer
hỗ trợ thêm giáo trình không phải slide cho sinh viên .,negative,facility
cô wzjwz259 rất vui và nhiệt tình .,positive,lecturer
"giáo viện nhiệt tình , tận tâm .",positive,lecturer
"kiến thức được giảng viên trình bày rõ ràng , dễ hiểu cho sinh viên .",positive,program
cần thêm nhiều kit để thực hành .,negative,facility
dạy khó hiểu quá nhanh .,negative,lecturer
"luôn gần gũi , tham khảo ý kiến sinh viên và thống nhất cũng sinh viên .",positive,lecturer
sắp xếp lịch học bù chưa hợp lý .,negative,program
"nhà trường nên đưa môn học này vào thời khóa biểu bắt buộc ở học kỳ 1 của các sinh viên năm nhất nhằm giúp các em nắm biết được mình nên học gì , mình có nên chuyển đổi ngành hay không .",negative,program
thời gian thực hành cần nhiều hơn .,negative,program
giảng viên rất nhiệt tình trong giảng dạy .,positive,lecturer
slide chuẩn bị chưa tốt .,negative,program
thầy hay đòi hỏi sinh viên những điều hơi quá cao .,negative,lecturer
cô giảng hướng dẫn nhiệt tình .,positive,lecturer
"chúng em đã gặp khó khắn với khổ giấy nhỏ , mô hình thì lớn và phức tạp .",negative,other
giảng quá nhiều không đánh vào trọng tâm .,negative,lecturer
"em không muốn nói gì nhưng mong thầy xem lại cách đánh giá sinh viên để công bằng hơn , cái sinh viên không biết không phải chỉ ở cúp tiết mà còn ở cách giảng dạy , truyền đạt ở giảng viên , ví dụ như cô wzjwz324 , rất dễ hiểu , tận tâm .",negative,lecturer
cô có nhiều hình thức giảng dạy hay .,positive,lecturer
hơi khó .,negative,lecturer
thầy đi trễ .,negative,lecturer
giảng tốt .,positive,lecturer
nói mở rộng nhiều vấn đề về môn học .,positive,lecturer
cần tăng cường nội dung nghe và nói để sinh viên giao tiếp tốt hơn bằng tiếng anh .,negative,program
giảng viên tạo điều kiện làm nhiều bài tập .,negative,lecturer
hỗ trợ thêm về các thiết bị dạy và học .,negative,facility
ít giải bài tập trên lớp .,negative,lecturer
bám sát nội dung chính .,positive,program
cần thêm các đoạn code cho các giải thuật bổ sung các phương pháp để giải quyết các bài toán liệt kê .,negative,program
thông tin đầy đủ về bài tập và các nguồn tham khảo .,positive,program
"cô tận tâm , nhiệt tình , phương pháp dạy dễ hiểu .",positive,lecturer
"thầy giảng rất dễ hiểu và thú vị , thu hút .",positive,lecturer
hướng dẫn chi tiết về cách thực hành .,positive,lecturer
"giảng viên chỉ cho đồ án và giải đáp các yêu cầu đồ án , không cung cấp tài liệu hay hướng dẫn cơ bản , sinh viên tự tìm hiểu với lý do là hệ tài năng nên cần tự xoay sở .",negative,lecturer
"môn học toàn kiến thức mới mẻ , giảng viên nên giảng chi tiết hơn .",negative,lecturer
"đến khi cuối kỳ , chỉ cần sinh viên mắc một sai sót nhỏ thì sẽ rớt môn .",negative,program
"cần thay đổi cách dạy và nội dung học của phần thực hành , các bài thực hành hiện tại của môn mạng máy tính chưa đảm bảo hiệu quả .",negative,program
"thầy dạy hay , tận tình góp ý từng bài .",positive,lecturer
"cơ sở vật chất , phỏng máy không đủ phích cắm cho dụng cụ thực hành và số lượng sinh viên , máy còn tiềm ẩn nhiều virus .",negative,facility
"trên lớp lý thuyết giảng viên yêu cầu sinh viên phải thực hiện đồ án theo những gì mình hướng dẫn , những nhóm sinh viên bổ sung thêm những liên hệ thực tiễn đều bị cho là sai , không phù hợp với đồ án .",negative,program
thầy giảng bài hay và hiệu quả !,positive,lecturer
giảng viên nhiệt tình vui vẻ .,positive,lecturer
phòng học nên có rèm che sáng để khi chiếu slide được nhìn rõ hơn .,negative,facility
"chương trình dạy lý thuyết và thực hành nên khớp với nhau hơn , tránh tình trạng thực hành trước khi học lý thuyết .",negative,lecturer
"thầy giảng dạy nhiệt tình , dễ hiểu .",positive,lecturer
mong giảng viên ngày càng chấn chỉnh việc dạy học để các khoá sau được hiểu tốt hơn .,negative,lecturer
"thầy dạy rất có tâm , và giảng cho sinh viên rất nhiều thứ !",positive,lecturer
"nội dung khảo sat quá dài , nhiều mục lặp đi lặp lại , nhiều bạn khảo sát mà không cần đọc , toàn tích chàn .",negative,program
dạy tốt và rất nhiệt tình chỉ dạy hoc sinh .,positive,lecturer
"nhiệt tình , tân tâm .",positive,lecturer
"nhưng học mới thấy kiến thức thầy dạy rất hay , bám sát thực tế , thầy dạy rất nhiệt tình , vui vẻ , khác với mọi người nói .",positive,lecturer
bài tập rất hay .,positive,program
thầy cô cần cho nhiều dạng bài tập sát với đề thi hơn .,negative,lecturer
"thầy giảng hay nhưng nên tự tin hơn , nói to hơn để học sinh hiểu bài một cách rõ ràng hơn .",positive,lecturer
"mong thầy vui tính , gần gũi với sinh viên hơn .",positive,lecturer
"giáo viên vui tính , hòa đồng , nhiệt tình .",positive,lecturer
cung cấp kiến thức trọng tâm .,positive,program
cố gắng truyền đạt một cách tốt nhất để sinh viên được hiểu .,positive,lecturer
giọng của giảng viên nhỏ dù đã sử dụng micro .,negative,lecturer
giáo viên có phong cách giảng dạy nghiêm túc .,positive,lecturer
"cô rất vui tính nà , không khí lớp lúc nào cũng vui hết , cô dạy rất hay , dễ hiểu !",positive,lecturer
"giảng viên giảng dạy rất tốt , thường xuyên cung cấp thêm nhiều kiến thức .",positive,lecturer
"thầy luôn nhiệt tình , có những chia sẻ rất gần gũi với sinh viên .",positive,lecturer
có khả năng truyền đạt tốt .,positive,lecturer
thậm chí còn không có bài nào khó bằng các bài trong nội dung của lớp chuyên tin ở các trường cấp 3 .,negative,program
thầy dạy tận tụy và tâm huyết .,positive,lecturer
thầy nên có cách dạy mới cho môn học này để được kết quả tốt cho tất cả mọi người thay vì để rớt rất nhiều người !,negative,lecturer
lịch thi thực hành cần được thông báo sớm tới sinh viên và phù hợp với thời gian môn học .,negative,program
cô nên giảng kỹ và chi tiết từng bài vì nhiều bài đa số các bạn chưa hiểu thì cô lại giảng nhanh để chuyển qua bài khác .,negative,lecturer
dạy tốt đúng trọng tâm những gì cần biết .,positive,lecturer
"nhiệt tình , lên lớp đúng giờ , dạy dễ hiểu .",positive,lecturer
"nếu em buồn ngủ , dù lên lớp em vẫn sẽ ngủ , mà ngủ ở trên lớp thì đau lưng và tê chân lắm .",negative,other
cơ mà em học môn này em hiểu colonlove .,positive,other
thiếu kinh nghiệm truyền đạt .,negative,facility
bài giảng thú vị .,positive,program
em nghĩ nội dung thực hành nên gần với đồ án hơn .,negative,program
thầy nhiệt huyết và giảng bao quát đề cập đến nhiều khía cạnh của bài học vấn đề .,positive,lecturer
giảng viên giảng bài kỹ .,positive,lecturer
"hệ thống đồ án chấm điểm theo mức độ hoàn thành của sinh viên , tạo sự ganh đua không hề nhẹ với những nhóm làm chung đồ án , kích thích sáng tạo không ngừng tìm hiểu xây dựng thêm chức năng mới cho đồ án nếu muốn được điểm cao .",positive,program
"nhiệt tình , tâm huyết .",positive,lecturer
ít chú trọng phần ngữ pháp .,negative,program
"giảng viên còn chưa tận tâm , phong cách giảng dạy chưa thu hút được sinh viên .",negative,lecturer
"giảng rất dễ hiểu , hướng dẫn làm thực hành tốt .",positive,lecturer
"thầy dạy rất nhiệt tình , khi dạy thầy luôn đi tới từng sinh viên để hướng dẫn .",positive,lecturer
giảng viên nhiệt tình trong giảng dạy và chấm điểm .,positive,lecturer
"cách truyền đạt kiến thức đối với em là rất hiệu quả , trao đổi bài với sinh viên , cô rất nhiệt tình !",positive,lecturer
"giảng dạy hay , dễ hiểu , tận tình .",positive,lecturer
"kiến thức rộng , kinh nghiệm thực tế nhiều , truyền cảm hứng cho sinh viên .",positive,lecturer
cách dạy sáng tạo .,positive,lecturer
giảng bài dễ tiếp thu .,positive,lecturer
em rất hài lòng với cô .,positive,lecturer
"thầy dạy dễ hiểu , sinh động .",positive,lecturer
cô chưa nắm bắt được thực trạng học của sinh viên .,negative,lecturer
ảnh hưởng đến tiến độ học tập và quỹ thời gian của sinh viên ( do học bù ) .,negative,lecturer
cô giảng bài dễ hiểu .,positive,lecturer
điều em hài lòng nhất đó là thầy đi rất đúng giờ và không dạy quá nhanh .,positive,lecturer
nên có giáo trình thống nhất cho tất cả các lớp và học kỳ học .,negative,program
em nghĩ cần có các bài tập lớn để nâng cao khả năng lập trình của các sinh viên .,negative,program
rất nhiệt tình với sinh viên .,positive,lecturer
"giảng viên có phương pháp giảng dạy hay , cập nhật , phù hợp với sinh viên .",positive,lecturer
giảng dạy tốt và có tâm .,positive,lecturer
dạy lý thuyết hơi nhiều .,negative,lecturer
"thời lượng môn học quá dài , sinh viên cảm thấy mệt mỏi .",negative,program
giảng viên vui tính dễ tương tác với sinh viên .,positive,lecturer
"nhiệt tình hay giúp đỡ sinh viên khi không biết , cho nhiều bài tập .",positive,lecturer
"thầy cho điểm phần nào còn theo cảm tính , chưa được công bằng .",negative,lecturer
thầy giảng dạy rất nhiệt tình .,positive,lecturer
"thầy nhiệt tình , bài giảng phong phú đa dạng .",positive,lecturer
"mỗi tháng chỉ gặp giảng viên một lần rất khó cho việc học hỏi , hướng dẫn từ giáo viên .",negative,lecturer
"thầy nên chuẩn bị riêng một slide cho mình để giảng dạy , không nên lấy slide của người khác rồi đến khi sơ sót , thầy lại lấy cái lý do  đây không là slide của tôi  ,  cái này tôi cũng không rõ nữa  .",negative,lecturer
